time error algout inp ref p_value i_value d_value setservo
0.000000 149.000000 -2147483648.000000 577 428 372.500000 0.000000 inf 132.000000
0.099609 149.000000 376.000000 577 428 372.500000 4.452539 0.000000 194.000000
0.201172 149.000000 381.000000 577 428 372.500000 8.992383 0.000000 194.000000
0.300781 148.000000 381.000000 576 428 370.000000 13.415039 -2.007843 194.000000
0.400391 147.000000 383.000000 575 428 367.500000 17.807813 -2.007843 194.000000
0.501953 146.000000 385.000000 574 428 365.000000 22.256250 -1.969231 194.000000
0.601562 142.000000 373.000000 570 428 355.000000 26.499609 -8.031373 194.000000
0.701172 138.000000 367.000000 566 428 345.000000 30.623438 -8.031373 194.000000
0.802734 132.000000 352.000000 560 428 330.000000 34.645313 -11.815385 194.000000
0.902344 127.000000 345.000000 555 428 317.500000 38.440430 -10.039216 194.000000
1.001953 119.000000 323.000000 547 428 297.500000 41.996484 -16.062745 194.000000
1.103516 109.000000 298.000000 537 428 272.500000 45.317578 -19.692308 194.000000
1.203125 98.000000 271.000000 526 428 245.000000 48.246094 -22.086275 194.000000
1.302734 88.000000 250.000000 516 428 220.000000 50.875781 -20.078431 194.000000
1.402344 77.000000 223.000000 505 428 192.500000 53.176758 -22.086275 194.000000
1.503906 63.000000 185.000000 491 428 157.500000 55.096289 -27.569231 194.000000
1.603516 51.000000 160.000000 479 428 127.500000 56.620313 -24.094118 194.000000
1.703125 39.000000 131.000000 467 428 97.500000 57.785742 -24.094118 194.000000
1.802734 27.000000 101.000000 455 428 67.500000 58.592578 -24.094118 194.000000
1.904297 15.000000 72.000000 443 428 37.500000 59.049609 -23.630769 194.000000
2.003906 -3.000000 15.000000 425 428 -7.500000 58.959961 -36.141176 147.000000
2.105469 -16.000000 -7.000000 412 428 -40.000000 58.472461 -25.600000 188.000000
2.205078 -30.000000 -45.000000 398 428 -75.000000 57.575977 -28.109804 150.000000
2.304688 -43.000000 -77.000000 385 428 -107.500000 56.291016 -26.101961 132.000000
2.408203 -55.000000 -106.000000 373 428 -137.500000 54.583008 -23.184906 132.000000
2.507812 -58.000000 -98.000000 370 428 -145.000000 52.849805 -6.023529 132.000000
2.609375 -73.000000 -161.000000 355 428 -182.500000 50.625586 -29.538462 132.000000
2.708984 -77.000000 -152.000000 351 428 -192.500000 48.324609 -8.031373 132.000000
2.808594 -80.000000 -160.000000 348 428 -200.000000 45.933984 -6.023529 132.000000
2.910156 -80.000000 -156.000000 348 428 -200.000000 43.496484 0.000000 132.000000
3.009766 -79.000000 -154.000000 349 428 -197.500000 41.135742 2.007843 132.000000
3.109375 -76.000000 -145.000000 352 428 -190.000000 38.864648 6.023529 132.000000
3.210938 -72.000000 -135.000000 356 428 -180.000000 36.670898 7.876923 132.000000
3.310547 -68.000000 -127.000000 360 428 -170.000000 34.638867 8.031373 132.000000
3.410156 -62.000000 -110.000000 366 428 -155.000000 32.786133 12.047059 132.000000
3.511719 -57.000000 -101.000000 371 428 -142.500000 31.049414 9.846154 132.000000
3.611328 -50.000000 -81.000000 378 428 -125.000000 29.555273 14.054902 132.000000
3.710938 -43.000000 -65.000000 385 428 -107.500000 28.270312 14.054902 132.000000
3.812500 -36.000000 -49.000000 392 428 -90.000000 27.173437 13.784615 146.000000
3.912109 -28.000000 -27.000000 400 428 -70.000000 26.336719 16.062745 168.000000
4.013672 -19.000000 -4.000000 409 428 -47.500000 25.757812 17.723077 191.000000
4.113281 -11.000000 13.000000 417 428 -27.500000 25.429102 16.062745 145.000000
4.212891 -5.000000 24.000000 423 428 -12.500000 25.279688 12.047059 156.000000
4.314453 1.000000 39.000000 429 428 2.500000 25.310156 11.815385 171.000000
4.414062 5.000000 45.000000 433 428 12.500000 25.459570 8.031373 177.000000
4.513672 10.000000 60.000000 438 428 25.000000 25.758398 10.039216 192.000000
4.613281 13.000000 64.000000 441 428 32.500000 26.146875 6.023529 194.000000
4.714844 15.000000 68.000000 443 428 37.500000 26.603906 3.938462 194.000000
4.814453 15.000000 64.000000 443 428 37.500000 27.052148 0.000000 194.000000
4.914062 12.000000 51.000000 440 428 30.000000 27.410742 -6.023529 183.000000
5.013672 9.000000 44.000000 437 428 22.500000 27.679688 -6.023529 176.000000
5.115234 5.000000 32.000000 433 428 12.500000 27.832031 -7.876923 164.000000
5.216797 1.000000 22.000000 429 428 2.500000 27.862500 -7.876923 154.000000
5.316406 -2.000000 16.000000 426 428 -5.000000 27.802734 -6.023529 148.000000
5.416016 -4.000000 13.000000 424 428 -10.000000 27.683203 -4.015686 145.000000
5.517578 -4.000000 17.000000 424 428 -10.000000 27.561328 0.000000 149.000000
5.617188 -4.000000 17.000000 424 428 -10.000000 27.441797 0.000000 149.000000
5.716797 -2.000000 26.000000 426 428 -5.000000 27.382031 4.015686 158.000000
5.816406 1.000000 35.000000 429 428 2.500000 27.411914 6.023529 167.000000
5.917969 2.000000 34.000000 430 428 5.000000 27.472852 1.969231 166.000000
6.017578 4.000000 41.000000 432 428 10.000000 27.592383 4.015686 173.000000
6.117188 5.000000 42.000000 433 428 12.500000 27.741797 2.007843 174.000000
6.216797 6.000000 44.000000 434 428 15.000000 27.921094 2.007843 176.000000
6.318359 6.000000 43.000000 434 428 15.000000 28.103906 0.000000 175.000000
6.417969 6.000000 43.000000 434 428 15.000000 28.283203 0.000000 175.000000
6.517578 6.000000 43.000000 434 428 15.000000 28.462500 0.000000 175.000000
6.619141 5.000000 39.000000 433 428 12.500000 28.614844 -1.969231 171.000000
6.718750 5.000000 41.000000 433 428 12.500000 28.764258 0.000000 173.000000
6.820312 4.000000 36.000000 432 428 10.000000 28.886133 -1.969231 168.000000
6.919922 4.000000 39.000000 432 428 10.000000 29.005664 0.000000 171.000000
7.019531 4.000000 39.000000 432 428 10.000000 29.125195 0.000000 171.000000
7.121094 5.000000 43.000000 433 428 12.500000 29.277539 1.969231 175.000000
7.220703 4.000000 37.000000 432 428 10.000000 29.397070 -2.007843 169.000000
7.320312 4.000000 39.000000 432 428 10.000000 29.516602 0.000000 171.000000
7.421875 4.000000 39.000000 432 428 10.000000 29.638477 0.000000 171.000000
7.521484 4.000000 39.000000 432 428 10.000000 29.758008 0.000000 171.000000
7.621094 4.000000 39.000000 432 428 10.000000 29.877539 0.000000 171.000000
7.722656 4.000000 39.000000 432 428 10.000000 29.999414 0.000000 171.000000
7.822266 4.000000 40.000000 432 428 10.000000 30.118945 0.000000 172.000000
7.921875 4.000000 40.000000 432 428 10.000000 30.238477 0.000000 172.000000
8.023438 4.000000 40.000000 432 428 10.000000 30.360352 0.000000 172.000000
8.123047 4.000000 40.000000 432 428 10.000000 30.479883 0.000000 172.000000
8.224609 4.000000 40.000000 432 428 10.000000 30.601758 0.000000 172.000000
8.324219 4.000000 40.000000 432 428 10.000000 30.721289 0.000000 172.000000
8.423828 4.000000 40.000000 432 428 10.000000 30.840820 0.000000 172.000000
8.525391 4.000000 40.000000 432 428 10.000000 30.962695 0.000000 172.000000
8.625000 4.000000 41.000000 432 428 10.000000 31.082227 0.000000 173.000000
8.724609 4.000000 41.000000 432 428 10.000000 31.201758 0.000000 173.000000
8.826172 4.000000 41.000000 432 428 10.000000 31.323633 0.000000 173.000000
8.925781 4.000000 41.000000 432 428 10.000000 31.443164 0.000000 173.000000
9.027344 4.000000 41.000000 432 428 10.000000 31.565039 0.000000 173.000000
9.126953 4.000000 41.000000 432 428 10.000000 31.684570 0.000000 173.000000
9.228516 4.000000 41.000000 432 428 10.000000 31.806445 0.000000 173.000000
9.328125 4.000000 41.000000 432 428 10.000000 31.925977 0.000000 173.000000
9.427734 3.000000 37.000000 431 428 7.500000 32.015625 -2.007843 169.000000
9.527344 4.000000 44.000000 432 428 10.000000 32.135156 2.007843 176.000000
9.628906 4.000000 42.000000 432 428 10.000000 32.257031 0.000000 174.000000
9.728516 3.000000 37.000000 431 428 7.500000 32.346680 -2.007843 169.000000
